REF_DATE,GEO,DGUID,Components of population growth,Gender,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE
2020/2021,"All census metropolitan areas, Canada",,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590630411,3.3.1.1,210522
2021/2022,"All census metropolitan areas, Canada",,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590630411,3.3.1.1,452882
2022/2023,"All census metropolitan areas, Canada",,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590630411,3.3.1.1,429767
2023/2024,"All census metropolitan areas, Canada",,Immigrants,Total - gender,All ages,Persons,249,units,0,v1590630411,3.3.1.1,418964
2017/2018,"All census metropolitan areas, Canada",,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590631095,3.5.1.1,86259
2018/2019,"All census metropolitan areas, Canada",,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590631095,3.5.1.1,81332
2019/2020,"All census metropolitan areas, Canada",,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590631095,3.5.1.1,68402
2020/2021,"All census metropolitan areas, Canada",,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590631095,3.5.1.1,57763
2021/2022,"All census metropolitan areas, Canada",,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590631095,3.5.1.1,86543
2022/2023,"All census metropolitan areas, Canada",,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590631095,3.5.1.1,89103
2023/2024,"All census metropolitan areas, Canada",,Emigrants,Total - gender,All ages,Persons,249,units,0,v1590631095,3.5.1.1,91731
2017/2018,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Births,Total - gender,All ages,Persons,249,units,0,v1589934249,4.1.1.1,1877
2018/2019,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Births,Total - gender,All ages,Persons,249,units,0,v1589934249,4.1.1.1,1878
2019/2020,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Births,Total - gender,All ages,Persons,249,units,0,v1589934249,4.1.1.1,1816
2020/2021,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Births,Total - gender,All ages,Persons,249,units,0,v1589934249,4.1.1.1,1803
2021/2022,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Births,Total - gender,All ages,Persons,249,units,0,v1589934249,4.1.1.1,1874
2022/2023,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Births,Total - gender,All ages,Persons,249,units,0,v1589934249,4.1.1.1,1639
2023/2024,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Births,Total - gender,All ages,Persons,249,units,0,v1589934249,4.1.1.1,1605
2017/2018,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Deaths,Total - gender,All ages,Persons,249,units,0,v1589934591,4.2.1.1,1698
2018/2019,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Deaths,Total - gender,All ages,Persons,249,units,0,v1589934591,4.2.1.1,1738
2019/2020,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Deaths,Total - gender,All ages,Persons,249,units,0,v1589934591,4.2.1.1,1733
2020/2021,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Deaths,Total - gender,All ages,Persons,249,units,0,v1589934591,4.2.1.1,1806
2021/2022,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Deaths,Total - gender,All ages,Persons,249,units,0,v1589934591,4.2.1.1,2075
2022/2023,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Deaths,Total - gender,All ages,Persons,249,units,0,v1589934591,4.2.1.1,2050
2023/2024,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Deaths,Total - gender,All ages,Persons,249,units,0,v1589934591,4.2.1.1,2097
2017/2018,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Immigrants,Total - gender,All ages,Persons,249,units,0,v1589934933,4.3.1.1,882
2018/2019,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Immigrants,Total - gender,All ages,Persons,249,units,0,v1589934933,4.3.1.1,1134
2019/2020,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Immigrants,Total - gender,All ages,Persons,249,units,0,v1589934933,4.3.1.1,1039
2020/2021,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Immigrants,Total - gender,All ages,Persons,249,units,0,v1589934933,4.3.1.1,652
2021/2022,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Immigrants,Total - gender,All ages,Persons,249,units,0,v1589934933,4.3.1.1,2134
2022/2023,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Immigrants,Total - gender,All ages,Persons,249,units,0,v1589934933,4.3.1.1,3870
2023/2024,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Immigrants,Total - gender,All ages,Persons,249,units,0,v1589934933,4.3.1.1,3850
2017/2018,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Emigrants,Total - gender,All ages,Persons,249,units,0,v1589935617,4.5.1.1,193
2018/2019,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Emigrants,Total - gender,All ages,Persons,249,units,0,v1589935617,4.5.1.1,266
2019/2020,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Emigrants,Total - gender,All ages,Persons,249,units,0,v1589935617,4.5.1.1,183
2020/2021,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Emigrants,Total - gender,All ages,Persons,249,units,0,v1589935617,4.5.1.1,258
2021/2022,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Emigrants,Total - gender,All ages,Persons,249,units,0,v1589935617,4.5.1.1,272
2022/2023,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Emigrants,Total - gender,All ages,Persons,249,units,0,v1589935617,4.5.1.1,170
2023/2024,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Emigrants,Total - gender,All ages,Persons,249,units,0,v1589935617,4.5.1.1,172
2017/2018,"Halifax (CMA), Nova Scotia",2021S0503205,Births,Total - gender,All ages,Persons,249,units,0,v1589978787,5.1.1.1,4074
2018/2019,"Halifax (CMA), Nova Scotia",2021S0503205,Births,Total - gender,All ages,Persons,249,units,0,v1589978787,5.1.1.1,4100
2019/2020,"Halifax (CMA), Nova Scotia",2021S0503205,Births,Total - gender,All ages,Persons,249,units,0,v1589978787,5.1.1.1,4166
2020/2021,"Halifax (CMA), Nova Scotia",2021S0503205,Births,Total - gender,All ages,Persons,249,units,0,v1589978787,5.1.1.1,4064
2021/2022,"Halifax (CMA), Nova Scotia",2021S0503205,Births,Total - gender,All ages,Persons,249,units,0,v1589978787,5.1.1.1,4138
2022/2023,"Halifax (CMA), Nova Scotia",2021S0503205,Births,Total - gender,All ages,Persons,249,units,0,v1589978787,5.1.1.1,3884
2023/2024,"Halifax (CMA), Nova Scotia",2021S0503205,Births,Total - gender,All ages,Persons,249,units,0,v1589978787,5.1.1.1,3934
2017/2018,"Halifax (CMA), Nova Scotia",2021S0503205,Deaths,Total - gender,All ages,Persons,249,units,0,v1589979129,5.2.1.1,3526
2018/2019,"Halifax (CMA), Nova Scotia",2021S0503205,Deaths,Total - gender,All ages,Persons,249,units,0,v1589979129,5.2.1.1,3531
2019/2020,"Halifax (CMA), Nova Scotia",2021S0503205,Deaths,Total - gender,All ages,Persons,249,units,0,v1589979129,5.2.1.1,3607
2020/2021,"Halifax (CMA), Nova Scotia",2021S0503205,Deaths,Total - gender,All ages,Persons,249,units,0,v1589979129,5.2.1.1,3599
2021/2022,"Halifax (CMA), Nova Scotia",2021S0503205,Deaths,Total - gender,All ages,Persons,249,units,0,v1589979129,5.2.1.1,3674
2022/2023,"Halifax (CMA), Nova Scotia",2021S0503205,Deaths,Total - gender,All ages,Persons,249,units,0,v1589979129,5.2.1.1,4125
2023/2024,"Halifax (CMA), Nova Scotia",2021S0503205,Deaths,Total - gender,All ages,Persons,249,units,0,v1589979129,5.2.1.1,4229
2017/2018,"Halifax (CMA), Nova Scotia",2021S0503205,Immigrants,Total - gender,All ages,Persons,249,units,0,v1589979471,5.3.1.1,4397
2018/2019,"Halifax (CMA), Nova Scotia",2021S0503205,Immigrants,Total - gender,All ages,Persons,249,units,0,v1589979471,5.3.1.1,5454
2019/2020,"Halifax (CMA), Nova Scotia",2021S0503205,Immigrants,Total - gender,All ages,Persons,249,units,0,v1589979471,5.3.1.1,5190
2020/2021,"Halifax (CMA), Nova Scotia",2021S0503205,Immigrants,Total - gender,All ages,Persons,249,units,0,v1589979471,5.3.1.1,2874
2021/2022,"Halifax (CMA), Nova Scotia",2021S0503205,Immigrants,Total - gender,All ages,Persons,249,units,0,v1589979471,5.3.1.1,10860
2022/2023,"Halifax (CMA), Nova Scotia",2021S0503205,Immigrants,Total - gender,All ages,Persons,249,units,0,v1589979471,5.3.1.1,9700
2023/2024,"Halifax (CMA), Nova Scotia",2021S0503205,Immigrants,Total - gender,All ages,Persons,249,units,0,v1589979471,5.3.1.1,10175
2017/2018,"Halifax (CMA), Nova Scotia",2021S0503205,Emigrants,Total - gender,All ages,Persons,249,units,0,v1589980155,5.5.1.1,1393
2018/2019,"Halifax (CMA), Nova Scotia",2021S0503205,Emigrants,Total - gender,All ages,Persons,249,units,0,v1589980155,5.5.1.1,871
