"","REF_DATE","Central.government.operations","VALUE","covid"
"726",2020-11-01,"Loans, investments and advances",-9337,"COVID"
"727",2020-12-01,"Loans, investments and advances",-2999,"COVID"
"728",2021-01-01,"Loans, investments and advances",-2036,"COVID"
"729",2021-02-01,"Loans, investments and advances",66,"COVID"
"730",2021-03-01,"Loans, investments and advances",4801,"COVID"
"731",2021-04-01,"Loans, investments and advances",-3316,"COVID"
"732",2021-05-01,"Loans, investments and advances",-1047,"COVID"
"733",2021-06-01,"Loans, investments and advances",-55,"COVID"
"734",2021-07-01,"Loans, investments and advances",-2235,"COVID"
"735",2021-08-01,"Loans, investments and advances",-1007,"COVID"
"736",2021-09-01,"Loans, investments and advances",-2008,"COVID"
"737",2021-10-01,"Loans, investments and advances",-5851,"COVID"
"738",2021-11-01,"Loans, investments and advances",-1174,"COVID"
"739",2021-12-01,"Loans, investments and advances",-2325,"COVID"
"740",2022-01-01,"Loans, investments and advances",-472,"COVID"
"741",2022-02-01,"Loans, investments and advances",-2506,"COVID"
"742",2022-03-01,"Loans, investments and advances",-3439,"COVID"
"743",2022-04-01,"Loans, investments and advances",-2697,"COVID"
"744",2022-05-01,"Loans, investments and advances",-218,"COVID"
"745",2022-06-01,"Loans, investments and advances",-167,"COVID"
"746",2022-07-01,"Loans, investments and advances",-795,"COVID"
"747",2022-08-01,"Loans, investments and advances",-745,"Post-COVID"
"748",2022-09-01,"Loans, investments and advances",-1573,"Post-COVID"
"749",2022-10-01,"Loans, investments and advances",-725,"Post-COVID"
"750",2022-11-01,"Loans, investments and advances",22,"Post-COVID"
"751",2022-12-01,"Loans, investments and advances",-55,"Post-COVID"
"752",2023-01-01,"Loans, investments and advances",405,"Post-COVID"
"753",2023-02-01,"Loans, investments and advances",405,"Post-COVID"
"754",2023-03-01,"Loans, investments and advances",2063,"Post-COVID"
"755",2023-04-01,"Loans, investments and advances",-1035,"Post-COVID"
"756",2023-05-01,"Loans, investments and advances",-142,"Post-COVID"
"757",2023-06-01,"Loans, investments and advances",-914,"Post-COVID"
"758",2023-07-01,"Loans, investments and advances",-324,"Post-COVID"
"759",2023-08-01,"Loans, investments and advances",-406,"Post-COVID"
"760",2023-09-01,"Loans, investments and advances",-1932,"Post-COVID"
"761",2023-10-01,"Loans, investments and advances",311,"Post-COVID"
"762",2023-11-01,"Loans, investments and advances",-19,"Post-COVID"
"763",2023-12-01,"Loans, investments and advances",570,"Post-COVID"
"764",2024-01-01,"Loans, investments and advances",2712,"Post-COVID"
"765",2024-02-01,"Loans, investments and advances",2753,"Post-COVID"
"766",2024-03-01,"Loans, investments and advances",-324,"Post-COVID"
"767",2024-04-01,"Loans, investments and advances",-2018,"Post-COVID"
"768",2024-05-01,"Loans, investments and advances",-4104,"Post-COVID"
"769",2024-06-01,"Loans, investments and advances",-4667,"Post-COVID"
"770",2024-07-01,"Loans, investments and advances",-1829,"Post-COVID"
"771",2024-08-01,"Loans, investments and advances",-4627,"Post-COVID"
"772",2024-09-01,"Loans, investments and advances",-6209,"Post-COVID"
"773",2024-10-01,"Loans, investments and advances",-2214,"Post-COVID"
"774",2024-11-01,"Loans, investments and advances",-4762,"Post-COVID"
"775",2017-10-01,"Accounts payable, receivables, accruals and allowances",678,"Pre-COVID"
"776",2017-11-01,"Accounts payable, receivables, accruals and allowances",4194,"Pre-COVID"
"777",2017-12-01,"Accounts payable, receivables, accruals and allowances",1443,"Pre-COVID"
"778",2018-01-01,"Accounts payable, receivables, accruals and allowances",5175,"Pre-COVID"
"779",2018-02-01,"Accounts payable, receivables, accruals and allowances",-5082,"Pre-COVID"
"780",2018-03-01,"Accounts payable, receivables, accruals and allowances",14351,"Pre-COVID"
"781",2018-04-01,"Accounts payable, receivables, accruals and allowances",-5233,"Pre-COVID"
"782",2018-05-01,"Accounts payable, receivables, accruals and allowances",610,"Pre-COVID"
"783",2018-06-01,"Accounts payable, receivables, accruals and allowances",-5523,"Pre-COVID"
"784",2018-07-01,"Accounts payable, receivables, accruals and allowances",-838,"Pre-COVID"
"785",2018-08-01,"Accounts payable, receivables, accruals and allowances",1487,"Pre-COVID"
"786",2018-09-01,"Accounts payable, receivables, accruals and allowances",2569,"Pre-COVID"
"787",2018-10-01,"Accounts payable, receivables, accruals and allowances",1869,"Pre-COVID"
"788",2018-11-01,"Accounts payable, receivables, accruals and allowances",2615,"Pre-COVID"
"789",2018-12-01,"Accounts payable, receivables, accruals and allowances",-555,"Pre-COVID"
"790",2019-01-01,"Accounts payable, receivables, accruals and allowances",5462,"Pre-COVID"
"791",2019-02-01,"Accounts payable, receivables, accruals and allowances",-6288,"Pre-COVID"
"792",2019-03-01,"Accounts payable, receivables, accruals and allowances",11489,"Pre-COVID"
"793",2019-04-01,"Accounts payable, receivables, accruals and allowances",-1333,"Pre-COVID"
"794",2019-05-01,"Accounts payable, receivables, accruals and allowances",-1246,"Pre-COVID"
"795",2019-06-01,"Accounts payable, receivables, accruals and allowances",-6135,"Pre-COVID"
"796",2019-07-01,"Accounts payable, receivables, accruals and allowances",-3108,"Pre-COVID"
"797",2019-08-01,"Accounts payable, receivables, accruals and allowances",2750,"Pre-COVID"
"798",2019-09-01,"Accounts payable, receivables, accruals and allowances",3353,"Pre-COVID"
"799",2019-10-01,"Accounts payable, receivables, accruals and allowances",2704,"Pre-COVID"
"800",2019-11-01,"Accounts payable, receivables, accruals and allowances",312,"Pre-COVID"
"801",2019-12-01,"Accounts payable, receivables, accruals and allowances",-431,"Pre-COVID"
"802",2020-01-01,"Accounts payable, receivables, accruals and allowances",1471,"Pre-COVID"
"803",2020-02-01,"Accounts payable, receivables, accruals and allowances",-6120,"Pre-COVID"
"804",2020-03-01,"Accounts payable, receivables, accruals and allowances",4701,"COVID"
"805",2020-04-01,"Accounts payable, receivables, accruals and allowances",-27626,"COVID"
"806",2020-05-01,"Accounts payable, receivables, accruals and allowances",-8227,"COVID"
"807",2020-06-01,"Accounts payable, receivables, accruals and allowances",-15211,"COVID"
"808",2020-07-01,"Accounts payable, receivables, accruals and allowances",3048,"COVID"
"809",2020-08-01,"Accounts payable, receivables, accruals and allowances",6238,"COVID"
"810",2020-09-01,"Accounts payable, receivables, accruals and allowances",1634,"COVID"
"811",2020-10-01,"Accounts payable, receivables, accruals and allowances",16168,"COVID"
"812",2020-11-01,"Accounts payable, receivables, accruals and allowances",5608,"COVID"
"813",2020-12-01,"Accounts payable, receivables, accruals and allowances",-2368,"COVID"
"814",2021-01-01,"Accounts payable, receivables, accruals and allowances",4568,"COVID"
"815",2021-02-01,"Accounts payable, receivables, accruals and allowances",-3814,"COVID"
"816",2021-03-01,"Accounts payable, receivables, accruals and allowances",16545,"COVID"
"817",2021-04-01,"Accounts payable, receivables, accruals and allowances",-8432,"COVID"
"818",2021-05-01,"Accounts payable, receivables, accruals and allowances",25,"COVID"
"819",2021-06-01,"Accounts payable, receivables, accruals and allowances",1538,"COVID"
"820",2021-07-01,"Accounts payable, receivables, accruals and allowances",-8547,"COVID"
"821",2021-08-01,"Accounts payable, receivables, accruals and allowances",3827,"COVID"
"822",2021-09-01,"Accounts payable, receivables, accruals and allowances",19804,"COVID"
"823",2021-10-01,"Accounts payable, receivables, accruals and allowances",-13574,"COVID"
"824",2021-11-01,"Accounts payable, receivables, accruals and allowances",-1512,"COVID"
"825",2021-12-01,"Accounts payable, receivables, accruals and allowances",12253,"COVID"
"826",2022-01-01,"Accounts payable, receivables, accruals and allowances",4734,"COVID"
"827",2022-02-01,"Accounts payable, receivables, accruals and allowances",-6236,"COVID"
"828",2022-03-01,"Accounts payable, receivables, accruals and allowances",26107,"COVID"
"829",2022-04-01,"Accounts payable, receivables, accruals and allowances",-8897,"COVID"
"830",2022-05-01,"Accounts payable, receivables, accruals and allowances",4490,"COVID"
"831",2022-06-01,"Accounts payable, receivables, accruals and allowances",-4209,"COVID"
"832",2022-07-01,"Accounts payable, receivables, accruals and allowances",-5915,"COVID"
"833",2022-08-01,"Accounts payable, receivables, accruals and allowances",3249,"Post-COVID"
"834",2022-09-01,"Accounts payable, receivables, accruals and allowances",-5450,"Post-COVID"
"835",2022-10-01,"Accounts payable, receivables, accruals and allowances",228,"Post-COVID"
"836",2022-11-01,"Accounts payable, receivables, accruals and allowances",-3962,"Post-COVID"
"837",2022-12-01,"Accounts payable, receivables, accruals and allowances",-98,"Post-COVID"
"838",2023-01-01,"Accounts payable, receivables, accruals and allowances",-4244,"Post-COVID"
"839",2023-02-01,"Accounts payable, receivables, accruals and allowances",-14621,"Post-COVID"
"840",2023-03-01,"Accounts payable, receivables, accruals and allowances",25828,"Post-COVID"
"841",2023-04-01,"Accounts payable, receivables, accruals and allowances",-11548,"Post-COVID"
"842",2023-05-01,"Accounts payable, receivables, accruals and allowances",-3136,"Post-COVID"
"843",2023-06-01,"Accounts payable, receivables, accruals and allowances",-10650,"Post-COVID"
"844",2023-07-01,"Accounts payable, receivables, accruals and allowances",-6869,"Post-COVID"
"845",2023-08-01,"Accounts payable, receivables, accruals and allowances",1172,"Post-COVID"
"846",2023-09-01,"Accounts payable, receivables, accruals and allowances",6054,"Post-COVID"
"847",2023-10-01,"Accounts payable, receivables, accruals and allowances",3188,"Post-COVID"
"848",2023-11-01,"Accounts payable, receivables, accruals and allowances",1438,"Post-COVID"
"849",2023-12-01,"Accounts payable, receivables, accruals and allowances",9177,"Post-COVID"
"850",2024-01-01,"Accounts payable, receivables, accruals and allowances",3205,"Post-COVID"
"851",2024-02-01,"Accounts payable, receivables, accruals and allowances",-41392,"Post-COVID"
"852",2024-03-01,"Accounts payable, receivables, accruals and allowances",19991,"Post-COVID"
"853",2024-04-01,"Accounts payable, receivables, accruals and allowances",-6787,"Post-COVID"
"854",2024-05-01,"Accounts payable, receivables, accruals and allowances",-3855,"Post-COVID"
"855",2024-06-01,"Accounts payable, receivables, accruals and allowances",-5485,"Post-COVID"
"856",2024-07-01,"Accounts payable, receivables, accruals and allowances",-5180,"Post-COVID"
"857",2024-08-01,"Accounts payable, receivables, accruals and allowances",-1231,"Post-COVID"
"858",2024-09-01,"Accounts payable, receivables, accruals and allowances",2853,"Post-COVID"
"859",2024-10-01,"Accounts payable, receivables, accruals and allowances",-2874,"Post-COVID"
"860",2024-11-01,"Accounts payable, receivables, accruals and allowances",5035,"Post-COVID"
"861",2017-10-01,"Foreign exchange accounts and derivatives",-2095,"Pre-COVID"
"862",2017-11-01,"Foreign exchange accounts and derivatives",-4531,"Pre-COVID"
"863",2017-12-01,"Foreign exchange accounts and derivatives",2895,"Pre-COVID"
"864",2018-01-01,"Foreign exchange accounts and derivatives",1505,"Pre-COVID"
"865",2018-02-01,"Foreign exchange accounts and derivatives",-4130,"Pre-COVID"
"866",2018-03-01,"Foreign exchange accounts and derivatives",4152,"Pre-COVID"
"867",2018-04-01,"Foreign exchange accounts and derivatives",1239,"Pre-COVID"
"868",2018-05-01,"Foreign exchange accounts and derivatives",1219,"Pre-COVID"
"869",2018-06-01,"Foreign exchange accounts and derivatives",-2774,"Pre-COVID"
"870",2018-07-01,"Foreign exchange accounts and derivatives",697,"Pre-COVID"
"871",2018-08-01,"Foreign exchange accounts and derivatives",687,"Pre-COVID"
"872",2018-09-01,"Foreign exchange accounts and derivatives",1142,"Pre-COVID"
"873",2018-10-01,"Foreign exchange accounts and derivatives",-3703,"Pre-COVID"
"874",2018-11-01,"Foreign exchange accounts and derivatives",-483,"Pre-COVID"
"875",2018-12-01,"Foreign exchange accounts and derivatives",-4460,"Pre-COVID"
"876",2019-01-01,"Foreign exchange accounts and derivatives",-1013,"Pre-COVID"
"877",2019-02-01,"Foreign exchange accounts and derivatives",4200,"Pre-COVID"
"878",2019-03-01,"Foreign exchange accounts and derivatives",498,"Pre-COVID"
"879",2019-04-01,"Foreign exchange accounts and derivatives",-2435,"Pre-COVID"
"880",2019-05-01,"Foreign exchange accounts and derivatives",-1109,"Pre-COVID"
"881",2019-06-01,"Foreign exchange accounts and derivatives",3044,"Pre-COVID"
"882",2019-07-01,"Foreign exchange accounts and derivatives",377,"Pre-COVID"
"883",2019-08-01,"Foreign exchange accounts and derivatives",-804,"Pre-COVID"
"884",2019-09-01,"Foreign exchange accounts and derivatives",1112,"Pre-COVID"
"885",2019-10-01,"Foreign exchange accounts and derivatives",119,"Pre-COVID"
"886",2019-11-01,"Foreign exchange accounts and derivatives",-650,"Pre-COVID"
"887",2019-12-01,"Foreign exchange accounts and derivatives",1559,"Pre-COVID"
"888",2020-01-01,"Foreign exchange accounts and derivatives",-2351,"Pre-COVID"
"889",2020-02-01,"Foreign exchange accounts and derivatives",-1848,"Pre-COVID"
"890",2020-03-01,"Foreign exchange accounts and derivatives",-2230,"COVID"
"891",2020-04-01,"Foreign exchange accounts and derivatives",-423,"COVID"
"892",2020-05-01,"Foreign exchange accounts and derivatives",963,"COVID"
"893",2020-06-01,"Foreign exchange accounts and derivatives",1609,"COVID"
"894",2020-07-01,"Foreign exchange accounts and derivatives",-2319,"COVID"
"895",2020-08-01,"Foreign exchange accounts and derivatives",3068,"COVID"
"896",2020-09-01,"Foreign exchange accounts and derivatives",-2573,"COVID"
"897",2020-10-01,"Foreign exchange accounts and derivatives",-1395,"COVID"
"898",2020-11-01,"Foreign exchange accounts and derivatives",1664,"COVID"
"899",2020-12-01,"Foreign exchange accounts and derivatives",3794,"COVID"
"900",2021-01-01,"Foreign exchange accounts and derivatives",751,"COVID"
"901",2021-02-01,"Foreign exchange accounts and derivatives",2782,"COVID"
"902",2021-03-01,"Foreign exchange accounts and derivatives",4359,"COVID"
"903",2021-04-01,"Foreign exchange accounts and derivatives",-8,"COVID"
"904",2021-05-01,"Foreign exchange accounts and derivatives",-4992,"COVID"
"905",2021-06-01,"Foreign exchange accounts and derivatives",-1359,"COVID"
"906",2021-07-01,"Foreign exchange accounts and derivatives",-825,"COVID"
"907",2021-08-01,"Foreign exchange accounts and derivatives",-2214,"COVID"
"908",2021-09-01,"Foreign exchange accounts and derivatives",-1673,"COVID"
"909",2021-10-01,"Foreign exchange accounts and derivatives",2671,"COVID"
"910",2021-11-01,"Foreign exchange accounts and derivatives",-270,"COVID"
"911",2021-12-01,"Foreign exchange accounts and derivatives",-4041,"COVID"
"912",2022-01-01,"Foreign exchange accounts and derivatives",1157,"COVID"
"913",2022-02-01,"Foreign exchange accounts and derivatives",1409,"COVID"
"914",2022-03-01,"Foreign exchange accounts and derivatives",-3943,"COVID"
"915",2022-04-01,"Foreign exchange accounts and derivatives",-6870,"COVID"
"916",2022-05-01,"Foreign exchange accounts and derivatives",-1730,"COVID"
"917",2022-06-01,"Foreign exchange accounts and derivatives",-537,"COVID"
"918",2022-07-01,"Foreign exchange accounts and derivatives",509,"COVID"
"919",2022-08-01,"Foreign exchange accounts and derivatives",-5778,"Post-COVID"
"920",2022-09-01,"Foreign exchange accounts and derivatives",1596,"Post-COVID"
"921",2022-10-01,"Foreign exchange accounts and derivatives",-1462,"Post-COVID"
"922",2022-11-01,"Foreign exchange accounts and derivatives",892,"Post-COVID"
"923",2022-12-01,"Foreign exchange accounts and derivatives",-770,"Post-COVID"
"924",2023-01-01,"Foreign exchange accounts and derivatives",-621,"Post-COVID"
"925",2023-02-01,"Foreign exchange accounts and derivatives",-2551,"Post-COVID"
"926",2023-03-01,"Foreign exchange accounts and derivatives",1552,"Post-COVID"
"927",2023-04-01,"Foreign exchange accounts and derivatives",-5816,"Post-COVID"
"928",2023-05-01,"Foreign exchange accounts and derivatives",-1751,"Post-COVID"
"929",2023-06-01,"Foreign exchange accounts and derivatives",-784,"Post-COVID"
"930",2023-07-01,"Foreign exchange accounts and derivatives",365,"Post-COVID"
"931",2023-08-01,"Foreign exchange accounts and derivatives",-1636,"Post-COVID"
"932",2023-09-01,"Foreign exchange accounts and derivatives",39,"Post-COVID"
"933",2023-10-01,"Foreign exchange accounts and derivatives",-1092,"Post-COVID"
"934",2023-11-01,"Foreign exchange accounts and derivatives",896,"Post-COVID"
"935",2023-12-01,"Foreign exchange accounts and derivatives",-191,"Post-COVID"
"936",2024-01-01,"Foreign exchange accounts and derivatives",1064,"Post-COVID"
"937",2024-02-01,"Foreign exchange accounts and derivatives",-1411,"Post-COVID"
"938",2024-03-01,"Foreign exchange accounts and derivatives",-1794,"Post-COVID"
"939",2024-04-01,"Foreign exchange accounts and derivatives",-6880,"Post-COVID"
"940",2024-05-01,"Foreign exchange accounts and derivatives",-578,"Post-COVID"
"941",2024-06-01,"Foreign exchange accounts and derivatives",-300,"Post-COVID"
"942",2024-07-01,"Foreign exchange accounts and derivatives",771,"Post-COVID"
"943",2024-08-01,"Foreign exchange accounts and derivatives",729,"Post-COVID"
"944",2024-09-01,"Foreign exchange accounts and derivatives",-1457,"Post-COVID"
"945",2024-10-01,"Foreign exchange accounts and derivatives",1876,"Post-COVID"
"946",2024-11-01,"Foreign exchange accounts and derivatives",105,"Post-COVID"
"947",2017-10-01,"E. Financial source",-1173,"Pre-COVID"
"948",2017-11-01,"E. Financial source",-3306,"Pre-COVID"
"949",2017-12-01,"E. Financial source",4814,"Pre-COVID"
"950",2018-01-01,"E. Financial source",6652,"Pre-COVID"
"951",2018-02-01,"E. Financial source",-6557,"Pre-COVID"
"952",2018-03-01,"E. Financial source",5904,"Pre-COVID"
"953",2018-04-01,"E. Financial source",-1555,"Pre-COVID"
"954",2018-05-01,"E. Financial source",1794,"Pre-COVID"
"955",2018-06-01,"E. Financial source",-7133,"Pre-COVID"
"956",2018-07-01,"E. Financial source",915,"Pre-COVID"
"957",2018-08-01,"E. Financial source",-4668,"Pre-COVID"
"958",2018-09-01,"E. Financial source",972,"Pre-COVID"
"959",2018-10-01,"E. Financial source",-2816,"Pre-COVID"
"960",2018-11-01,"E. Financial source",610,"Pre-COVID"
"961",2018-12-01,"E. Financial source",-2210,"Pre-COVID"
"962",2019-01-01,"E. Financial source",1509,"Pre-COVID"
"963",2019-02-01,"E. Financial source",1860,"Pre-COVID"
"964",2019-03-01,"E. Financial source",-1617,"Pre-COVID"
"965",2019-04-01,"E. Financial source",-5824,"Pre-COVID"
"966",2019-05-01,"E. Financial source",-1686,"Pre-COVID"
"967",2019-06-01,"E. Financial source",-2313,"Pre-COVID"
"968",2019-07-01,"E. Financial source",-4542,"Pre-COVID"
"969",2019-08-01,"E. Financial source",-1579,"Pre-COVID"
"970",2019-09-01,"E. Financial source",2462,"Pre-COVID"
"971",2019-10-01,"E. Financial source",-1251,"Pre-COVID"
"972",2019-11-01,"E. Financial source",-2848,"Pre-COVID"
"973",2019-12-01,"E. Financial source",2358,"Pre-COVID"
"974",2020-01-01,"E. Financial source",-1239,"Pre-COVID"
"975",2020-02-01,"E. Financial source",-3703,"Pre-COVID"
"976",2020-03-01,"E. Financial source",-22124,"COVID"
"977",2020-04-01,"E. Financial source",-84351,"COVID"
"978",2020-05-01,"E. Financial source",-52722,"COVID"
"979",2020-06-01,"E. Financial source",-50531,"COVID"
"980",2020-07-01,"E. Financial source",-24339,"COVID"
"981",2020-08-01,"E. Financial source",-11194,"COVID"
"982",2020-09-01,"E. Financial source",-29385,"COVID"
"983",2020-10-01,"E. Financial source",-5155,"COVID"
"984",2020-11-01,"E. Financial source",-16612,"COVID"
"985",2020-12-01,"E. Financial source",-17364,"COVID"
"986",2021-01-01,"E. Financial source",-16107,"COVID"
"987",2021-02-01,"E. Financial source",-13108,"COVID"
"988",2021-03-01,"E. Financial source",-6276,"COVID"
"989",2021-04-01,"E. Financial source",-19885,"COVID"
"990",2021-05-01,"E. Financial source",-17764,"COVID"
"991",2021-06-01,"E. Financial source",-12423,"COVID"
"992",2021-07-01,"E. Financial source",-21837,"COVID"
"993",2021-08-01,"E. Financial source",-7470,"COVID"
"994",2021-09-01,"E. Financial source",5651,"COVID"
"995",2021-10-01,"E. Financial source",-21406,"COVID"
"996",2021-11-01,"E. Financial source",-4302,"COVID"
"997",2021-12-01,"E. Financial source",10009,"COVID"
"998",2022-01-01,"E. Financial source",658,"COVID"
"999",2022-02-01,"E. Financial source",-853,"COVID"
"1000",2022-03-01,"E. Financial source",1339,"COVID"
"1001",2022-04-01,"E. Financial source",-15709,"COVID"
"1002",2022-05-01,"E. Financial source",6090,"COVID"
"1003",2022-06-01,"E. Financial source",288,"COVID"
"1004",2022-07-01,"E. Financial source",-7763,"COVID"
"1005",2022-08-01,"E. Financial source",-4478,"Post-COVID"
"1006",2022-09-01,"E. Financial source",-8087,"Post-COVID"
"1007",2022-10-01,"E. Financial source",-1580,"Post-COVID"
"1008",2022-11-01,"E. Financial source",-6069,"Post-COVID"
"1009",2022-12-01,"E. Financial source",-1259,"Post-COVID"
"1010",2023-01-01,"E. Financial source",9,"Post-COVID"
"1011",2023-02-01,"E. Financial source",-10927,"Post-COVID"
"1012",2023-03-01,"E. Financial source",-15373,"Post-COVID"
"1013",2023-04-01,"E. Financial source",-19541,"Post-COVID"
"1014",2023-05-01,"E. Financial source",-494,"Post-COVID"
"1015",2023-06-01,"E. Financial source",-9385,"Post-COVID"
"1016",2023-07-01,"E. Financial source",-10704,"Post-COVID"
"1017",2023-08-01,"E. Financial source",-4273,"Post-COVID"
"1018",2023-09-01,"E. Financial source",1139,"Post-COVID"
"1019",2023-10-01,"E. Financial source",-3977,"Post-COVID"
"1020",2023-11-01,"E. Financial source",-1604,"Post-COVID"
"1021",2023-12-01,"E. Financial source",6668,"Post-COVID"
"1022",2024-01-01,"E. Financial source",4540,"Post-COVID"
"1023",2024-02-01,"E. Financial source",-32488,"Post-COVID"
"1024",2024-03-01,"E. Financial source",-16984,"Post-COVID"
"1025",2024-04-01,"E. Financial source",-20299,"Post-COVID"
"1026",2024-05-01,"E. Financial source",-6947,"Post-COVID"
"1027",2024-06-01,"E. Financial source",-9277,"Post-COVID"
"1028",2024-07-01,"E. Financial source",-10497,"Post-COVID"
"1029",2024-08-01,"E. Financial source",-7372,"Post-COVID"
"1030",2024-09-01,"E. Financial source",-9007,"Post-COVID"
"1031",2024-10-01,"E. Financial source",-4845,"Post-COVID"
"1032",2024-11-01,"E. Financial source",-8053,"Post-COVID"
"1033",2017-10-01,"F. Net change in financing activities (external sources of funds)",5876,"Pre-COVID"
"1034",2017-11-01,"F. Net change in financing activities (external sources of funds)",-1381,"Pre-COVID"
"1035",2017-12-01,"F. Net change in financing activities (external sources of funds)",-2416,"Pre-COVID"
"1036",2018-01-01,"F. Net change in financing activities (external sources of funds)",-548,"Pre-COVID"
"1037",2018-02-01,"F. Net change in financing activities (external sources of funds)",5173,"Pre-COVID"
"1038",2018-03-01,"F. Net change in financing activities (external sources of funds)",-12513,"Pre-COVID"
"1039",2018-04-01,"F. Net change in financing activities (external sources of funds)",9472,"Pre-COVID"
"1040",2018-05-01,"F. Net change in financing activities (external sources of funds)",3651,"Pre-COVID"
"1041",2018-06-01,"F. Net change in financing activities (external sources of funds)",-7214,"Pre-COVID"
"1042",2018-07-01,"F. Net change in financing activities (external sources of funds)",6845,"Pre-COVID"
"1043",2018-08-01,"F. Net change in financing activities (external sources of funds)",1000,"Pre-COVID"
"1044",2018-09-01,"F. Net change in financing activities (external sources of funds)",-6025,"Pre-COVID"
"1045",2018-10-01,"F. Net change in financing activities (external sources of funds)",12713,"Pre-COVID"
"1046",2018-11-01,"F. Net change in financing activities (external sources of funds)",-6048,"Pre-COVID"
"1047",2018-12-01,"F. Net change in financing activities (external sources of funds)",2264,"Pre-COVID"
"1048",2019-01-01,"F. Net change in financing activities (external sources of funds)",4413,"Pre-COVID"
"1049",2019-02-01,"F. Net change in financing activities (external sources of funds)",-8739,"Pre-COVID"
"1050",2019-03-01,"F. Net change in financing activities (external sources of funds)",2336,"Pre-COVID"
"1051",2019-04-01,"F. Net change in financing activities (external sources of funds)",11715,"Pre-COVID"
"1052",2019-05-01,"F. Net change in financing activities (external sources of funds)",5342,"Pre-COVID"
"1053",2019-06-01,"F. Net change in financing activities (external sources of funds)",-10671,"Pre-COVID"
"1054",2019-07-01,"F. Net change in financing activities (external sources of funds)",11502,"Pre-COVID"
"1055",2019-08-01,"F. Net change in financing activities (external sources of funds)",4012,"Pre-COVID"
"1056",2019-09-01,"F. Net change in financing activities (external sources of funds)",-11306,"Pre-COVID"
"1057",2019-10-01,"F. Net change in financing activities (external sources of funds)",14108,"Pre-COVID"
"1058",2019-11-01,"F. Net change in financing activities (external sources of funds)",-7544,"Pre-COVID"
"1059",2019-12-01,"F. Net change in financing activities (external sources of funds)",-5574,"Pre-COVID"
"1060",2020-01-01,"F. Net change in financing activities (external sources of funds)",6055,"Pre-COVID"
"1061",2020-02-01,"F. Net change in financing activities (external sources of funds)",9487,"Pre-COVID"
"1062",2020-03-01,"F. Net change in financing activities (external sources of funds)",19811,"COVID"
"1063",2020-04-01,"F. Net change in financing activities (external sources of funds)",135825,"COVID"
"1064",2020-05-01,"F. Net change in financing activities (external sources of funds)",104118,"COVID"
"1065",2020-06-01,"F. Net change in financing activities (external sources of funds)",57710,"COVID"
"1066",2020-07-01,"F. Net change in financing activities (external sources of funds)",25449,"COVID"
"1067",2020-08-01,"F. Net change in financing activities (external sources of funds)",-15449,"COVID"
"1068",2020-09-01,"F. Net change in financing activities (external sources of funds)",-11587,"COVID"
"1069",2020-10-01,"F. Net change in financing activities (external sources of funds)",28736,"COVID"
"1070",2020-11-01,"F. Net change in financing activities (external sources of funds)",-327,"COVID"
"1071",2020-12-01,"F. Net change in financing activities (external sources of funds)",6719,"COVID"
"1072",2021-01-01,"F. Net change in financing activities (external sources of funds)",6007,"COVID"
"1073",2021-02-01,"F. Net change in financing activities (external sources of funds)",7245,"COVID"
"1074",2021-03-01,"F. Net change in financing activities (external sources of funds)",-2880,"COVID"
"1075",2021-04-01,"F. Net change in financing activities (external sources of funds)",12836,"COVID"
"1076",2021-05-01,"F. Net change in financing activities (external sources of funds)",25132,"COVID"
"1077",2021-06-01,"F. Net change in financing activities (external sources of funds)",15264,"COVID"
"1078",2021-07-01,"F. Net change in financing activities (external sources of funds)",34471,"COVID"
"1079",2021-08-01,"F. Net change in financing activities (external sources of funds)",13798,"COVID"
"1080",2021-09-01,"F. Net change in financing activities (external sources of funds)",-25105,"COVID"
"1081",2021-10-01,"F. Net change in financing activities (external sources of funds)",20479,"COVID"
"1082",2021-11-01,"F. Net change in financing activities (external sources of funds)",1095,"COVID"
"1083",2021-12-01,"F. Net change in financing activities (external sources of funds)",4123,"COVID"
"1084",2022-01-01,"F. Net change in financing activities (external sources of funds)",7385,"COVID"
"1085",2022-02-01,"F. Net change in financing activities (external sources of funds)",4597,"COVID"
"1086",2022-03-01,"F. Net change in financing activities (external sources of funds)",7077,"COVID"
"1087",2022-04-01,"F. Net change in financing activities (external sources of funds)",18154,"COVID"
"1088",2022-05-01,"F. Net change in financing activities (external sources of funds)",2995,"COVID"
"1089",2022-06-01,"F. Net change in financing activities (external sources of funds)",-7603,"COVID"
"1090",2022-07-01,"F. Net change in financing activities (external sources of funds)",17931,"COVID"
"1091",2022-08-01,"F. Net change in financing activities (external sources of funds)",-5229,"Post-COVID"
"1092",2022-09-01,"F. Net change in financing activities (external sources of funds)",-11835,"Post-COVID"
"1093",2022-10-01,"F. Net change in financing activities (external sources of funds)",19153,"Post-COVID"
"1094",2022-11-01,"F. Net change in financing activities (external sources of funds)",-24440,"Post-COVID"
"1095",2022-12-01,"F. Net change in financing activities (external sources of funds)",7700,"Post-COVID"
"1096",2023-01-01,"F. Net change in financing activities (external sources of funds)",13616,"Post-COVID"
"1097",2023-02-01,"F. Net change in financing activities (external sources of funds)",-11689,"Post-COVID"
"1098",2023-03-01,"F. Net change in financing activities (external sources of funds)",-4361,"Post-COVID"
"1099",2023-04-01,"F. Net change in financing activities (external sources of funds)",36763,"Post-COVID"
"1100",2023-05-01,"F. Net change in financing activities (external sources of funds)",1120,"Post-COVID"
